"Build number","KB number","Release Date","Cumulative Update number/Security ID","Modern Servicing Model","Includes latest security updates?","Includes latest security fixes?","Lifecycle stage","Notes regarding Lifecycle stage"
"10.50.4000.0","2630458","41116","N/A",,,,"Extended Support Phase",
"10.50.2881.00","2868244","41494","CU14",,,,"Extended Support Phase",
"10.50.2876.00","2855792","41442","CU13",,,,"Extended Support Phase",
"10.50.2874.00","2828727","41379","CU12",,,,"Extended Support Phase",
"10.50.2869.00","2812683","41323","CU11",,,,"Extended Support Phase",
"10.50.2868.00","2783135","41260","CU10",,,,"Extended Support Phase",
"10.50.2866.00","2756574","41197","CU9",,,,"Extended Support Phase",
"10.50.2861.00","2716439","41161","MS12-070",,,,"Extended Support Phase",
"10.50.2822.00","2723743","41152","CU8",,,,"Extended Support Phase",
"10.50.2817.00","2703282","41078","CU7",,,,"Extended Support Phase",
"10.50.2811.00","2679367","41015","CU6",,,,"Extended Support Phase",
"10.50.2806.00","2659694","40961","CU5",,,,"Extended Support Phase",
"10.50.2796.00","2633146","40896","CU4",,,,"Extended Support Phase",
"10.50.2789.00","2591748","40833","CU3",,,,"Extended Support Phase",
"10.50.2772.00","2567714","40770","CU2",,,,"Extended Support Phase",
"10.50.2769.00","2544793","40742","CU1",,,,"Extended Support Phase",
"10.50.2550.00","2754849","41191","MS12-070",,,,"Extended Support Phase",
"10.50.2500.0","2528583","40736","N/A",,,,"Extended Support Phase",
"10.50.1815.00","2679366","41015","CU",,,,"Extended Support Phase",
"10.50.1810.00","2659692","40960","CU",,,,"Extended Support Phase",
"10.50.1809.00","2633145","40896","CU",,,,"Extended Support Phase",
"10.50.1807.00","2591746","40833","CU",,,,"Extended Support Phase",
"10.50.1804.00","2567713","40770","CU",,,,"Extended Support Phase",
"10.50.1797.00","2534352","40715","CU",,,,"Extended Support Phase",
"10.50.1790.00","2494086","40708","MS11-049",,,,"Extended Support Phase",
"10.50.1777.00","2507770","40651","CU",,,,"Extended Support Phase",
"10.50.1765.00","2489376","40595","CU",,,,"Extended Support Phase",
"10.50.1753.00","2438347","40532","CU",,,,"Extended Support Phase",
"10.50.1746.00","2345451","40469","CU",,,,"Extended Support Phase",
"10.50.1734.00","2261464","40406","CU",,,,"Extended Support Phase",
"10.50.1720.00","2072493","40350","CU",,,,"Extended Support Phase",
"10.50.1702.00","981355","40316","CU",,,,"Extended Support Phase",
"10.50.1617.00","2494088","40708","MS11-049",,,,"Extended Support Phase",
"10.50.1600.1","N/A","40308","N/A",,,,"Extended Support Phase",
"10.50.6560.0","KB 4057113","43112","ADV180002",,,,"Extended Support Phase",
"10.00.6535.00","3045308","42199","MS15-058",,,"Yes","Extended Support Phase",
"10.00.6241.00","3045311","42199","MS15-059",,,"Yes","Extended Support Phase",
"10.00.5890.00","3045303","42199","MS15-060",,,"Yes","Extended Support Phase",
"10.0.6000.29","2979596","41912","N/A",,,"No,  update to 10.00.6535.00 (MS15-058, KB 3045308)","Extended Support Phase",
"10.00.5869.00","KB2984340,KB2977322,MS14-044","41863","MS14-044",,,"No,  update to 10.00.6535.00 (MS15-058, KB 3045308)","Extended Support Phase",
"10.00.5867.00","2888996,?2877204,?2920987",,,,,"No,  update to 10.00.6535.00 (MS15-058, KB 3045308)","Extended Support Phase",
"10.00.5861.00","2958696","41778","CU17",,,"No,  update to 10.00.6535.00 (MS15-058, KB 3045308)","Extended Support Phase",
"10.00.5852.00","2936421","41715","CU16",,,"No,  update to 10.00.6535.00 (MS15-058, KB 3045308)","Extended Support Phase",
"10.00.5850.00","2923520","41659","CU15",,,"No,  update to 10.00.6535.00 (MS15-058, KB 3045308)","Extended Support Phase",
"10.00.5848.00","2893410","41596","CU14",,,"No,  update to 10.00.6535.00 (MS15-058, KB 3045308)","Extended Support Phase",
"10.00.5846.00","2880350","41533","CU13",,,"No,  update to 10.00.6535.00 (MS15-058, KB 3045308)","Extended Support Phase",
"10.00.5844.00","2863205","41470","CU12",,,"No,  update to 10.00.6535.00 (MS15-058, KB 3045308)","Extended Support Phase",
"10.00.5840.00","2834048","41414","CU11",,,"No,  update to 10.00.6535.00 (MS15-058, KB 3045308)","Extended Support Phase",
"10.00.5835.00","2814783","41351","CU10",,,"No,  update to 10.00.6535.00 (MS15-058, KB 3045308)","Extended Support Phase",
"10.00.5829.00","2799883","41295","CU9",,,"No,  update to 10.00.6535.00 (MS15-058, KB 3045308)","Extended Support Phase",
"10.00.5828.00","2771833","41232","CU8",,,"No,  update to 10.00.6535.00 (MS15-058, KB 3045308)","Extended Support Phase",
"10.00.5826.00","2716435","41191","MS12-070",,,"No,  update to 10.00.6535.00 (MS15-058, KB 3045308)","Extended Support Phase",
"10.00.5794.00","2738350","41169","CU7",,,"No,  update to 10.00.6535.00 (MS15-058, KB 3045308)","Extended Support Phase",
"10.00.5788.00","2715953","41106","CU6",,,"No,  update to 10.00.6535.00 (MS15-058, KB 3045308)","Extended Support Phase",
"10.00.5785.00","2696626","41050","CU5",,,"No,  update to 10.00.6535.00 (MS15-058, KB 3045308)","Extended Support Phase",
"10.00.5775.00","2673383","40987","CU4",,,"No,  update to 10.00.6535.00 (MS15-058, KB 3045308)","Extended Support Phase",
"10.00.5770.00","2648098","40924","CU3",,,"No,  update to 10.00.6535.00 (MS15-058, KB 3045308)","Extended Support Phase",
"10.00.5768.00","2633143","40868","CU2",,,"No,  update to 10.00.6535.00 (MS15-058, KB 3045308)","Extended Support Phase",
"10.00.5766.00","2617146","40833","CU1",,,"No,  update to 10.00.6535.00 (MS15-058, KB 3045308)","Extended Support Phase",
"10.00.5538.00","3045305","42199","MS15-058",,,"Yes","Extended Support Phase",
"10.00.5520.00","2977321","41863","MS14-044",,,"No,  update to 10.00.5538.00 (MS15-058, KB 3045305)","Extended Support Phase",
"10.00.5512.00","2716436","41191","MS12-070",,,"No,  update to 10.00.5538.00 (MS15-058, KB 3045305)","Extended Support Phase",
"10.00.5500.00","2546951","40822","N/A",,,"No,  update to 10.00.6535.00 (MS15-058, KB 3045308)","Extended Support Phase",
"10.00.4371.00","2716433","41191","MS12-070",,,"No,  update to 10.00.6535.00 (MS15-058, KB 3045308)","Extended Support Phase",
"10.00.4333.00","2715951","41106","CU11",,,"No,  update to 10.00.6535.00 (MS15-058, KB 3045308)","Extended Support Phase",
"10.00.4332.00","2696625","41050","CU10",,,"No,  update to 10.00.6535.00 (MS15-058, KB 3045308)","Extended Support Phase",
"10.00.4330.00","2673382","40987","CU9",,,"No,  update to 10.00.6535.00 (MS15-058, KB 3045308)","Extended Support Phase",
"10.00.4326.00","2648096","40924","CU8",,,"No,  update to 10.00.6535.00 (MS15-058, KB 3045308)","Extended Support Phase",
"10.00.4323.00","2617148","40868","CU7",,,"No,  update to 10.00.6535.00 (MS15-058, KB 3045308)","Extended Support Phase",
"10.00.4321.00","2582285","40805","CU6",,,"No,  update to 10.00.6535.00 (MS15-058, KB 3045308)","Extended Support Phase",
"10.00.4316.00","2555408","40742","CU5",,,"No,  update to 10.00.6535.00 (MS15-058, KB 3045308)","Extended Support Phase",
"10.00.4311.00","2494094","40708","MS11-049",,,"No,  update to 10.00.6535.00 (MS15-058, KB 3045308)","Extended Support Phase",
"10.00.4285.00","2527180","40679","CU4",,,"No,  update to 10.00.6535.00 (MS15-058, KB 3045308)","Extended Support Phase",
"10.00.4279.00","2498535","40619","CU3",,,"No,  update to 10.00.6535.00 (MS15-058, KB 3045308)","Extended Support Phase",
"10.00.4272.00","2467239","40560","CU2",,,"No,  update to 10.00.6535.00 (MS15-058, KB 3045308)","Extended Support Phase",
"10.00.4266.00","2289254","40497","CU1",,,"No,  update to 10.00.6535.00 (MS15-058, KB 3045308)","Extended Support Phase",
"10.00.4067.00","2716434","41191","MS12-070",,,"No,  update to 10.00.5538.00 (MS15-058, KB 3045305)","Extended Support Phase",
"10.00.4064.00","2494089","40708","MS11-049",,,"No,  update to 10.00.5538.00 (MS15-058, KB 3045305)","Extended Support Phase",
"10.00.4000.00","2285068","40450","N/A",,,"No,  update to 10.00.6535.00 (MS15-058, KB 3045308)","Extended Support Phase",
"10.00.2850.0","2582282","40805","CU16",,,"No,  update to 10.00.6535.00 (MS15-058, KB 3045308)","Extended Support Phase",
"10.00.2847.0","2555406","40742","CU15",,,"No,  update to 10.00.6535.00 (MS15-058, KB 3045308)","Extended Support Phase",
"10.00.2841.0","2494100","40708","MS11-049",,,"No,  update to 10.00.6535.00 (MS15-058, KB 3045308)","Extended Support Phase",
"10.00.2821.00","2527187","40679","CU14",,,"No,  update to 10.00.6535.00 (MS15-058, KB 3045308)","Extended Support Phase",
"10.00.2816.00","2497673","40591","CU13",,,"No,  update to 10.00.6535.00 (MS15-058, KB 3045308)","Extended Support Phase",
"10.00.2808.00","2467236","40560","CU12",,,"No,  update to 10.00.6535.00 (MS15-058, KB 3045308)","Extended Support Phase",
"10.00.2804.00","2413738","40497","CU11",,,"No,  update to 10.00.6535.00 (MS15-058, KB 3045308)","Extended Support Phase",
"10.00.2799.00","2279604","40441","CU10",,,"No,  update to 10.00.6535.00 (MS15-058, KB 3045308)","Extended Support Phase",
"10.00.2789.00","2083921","40378","CU9",,,"No,  update to 10.00.6535.00 (MS15-058, KB 3045308)","Extended Support Phase",
"10.00.2775.00","981702","40315","CU8",,,"No,  update to 10.00.6535.00 (MS15-058, KB 3045308)","Extended Support Phase",
"10.00.2766.00","979065","40263","CU7",,,"No,  update to 10.00.6535.00 (MS15-058, KB 3045308)","Extended Support Phase",
"10.00.2757.00","977443","40196","CU6",,,"No,  update to 10.00.6535.00 (MS15-058, KB 3045308)","Extended Support Phase",
"10.00.2746.00","975977","40133","CU5",,,"No,  update to 10.00.6535.00 (MS15-058, KB 3045308)","Extended Support Phase",
"10.00.2734.00","973602","40077","CU4",,,"No,  update to 10.00.6535.00 (MS15-058, KB 3045308)","Extended Support Phase",
"10.00.2723.00","971491","40014","CU3",,,"No,  update to 10.00.6535.00 (MS15-058, KB 3045308)","Extended Support Phase",
"10.00.2714.00","970315","39951","CU2",,,"No,  update to 10.00.6535.00 (MS15-058, KB 3045308)","Extended Support Phase",
"10.00.2710.00","969099","39919","CU1",,,"No,  update to 10.00.6535.00 (MS15-058, KB 3045308)","Extended Support Phase",
"10.00.2573.00","2494096","40708","MS11-049",,,"No,  update to 10.00.5538.00 (MS15-058, KB 3045305)","Extended Support Phase",
"10.00.2531.00",,,"N/A",,,"No,  update to 10.00.6535.00 (MS15-058, KB 3045308)","Extended Support Phase",
"10.00.1835.00","979064","40252","CU10",,,"No,  update to 10.00.6535.00 (MS15-058, KB 3045308)","Extended Support Phase",
"10.00.1828.00","977444","40196","CU9",,,"No,  update to 10.00.6535.00 (MS15-058, KB 3045308)","Extended Support Phase",
"10.00.1823.00","975976","40133","CU8",,,"No,  update to 10.00.6535.00 (MS15-058, KB 3045308)","Extended Support Phase",
"10.00.1818.00","973601","40077","CU7",,,"No,  update to 10.00.6535.00 (MS15-058, KB 3045308)","Extended Support Phase",
"10.00.1812.00","971490","40014","CU6",,,"No,  update to 10.00.6535.00 (MS15-058, KB 3045308)","Extended Support Phase",
"10.00.1806.00","969531","39951","CU5",,,"No,  update to 10.00.6535.00 (MS15-058, KB 3045308)","Extended Support Phase",
"10.00.1798.00","963036","39888","CU4",,,"No,  update to 10.00.6535.00 (MS15-058, KB 3045308)","Extended Support Phase",
"10.00.1787.00","960484","39832","CU3",,,"No,  update to 10.00.6535.00 (MS15-058, KB 3045308)","Extended Support Phase",
"10.00.1779.00","958186","39771","CU2",,,"No,  update to 10.00.6535.00 (MS15-058, KB 3045308)","Extended Support Phase",
"10.00.1763.00","956717","39713","CU1",,,"No,  update to 10.00.6535.00 (MS15-058, KB 3045308)","Extended Support Phase",
"10.00.1600.22",,"39666",,,,"No,  update to 10.00.6241.00 (MS15-058, KB 3045311)","Extended Support Phase",
"10.0.6556.0","4057114","43112","N/A",,,"ADV180002","Extended Support Phase",
"9.00.5324","2716427","41191","MS12-070",,,,,
"9.00.5292","2494123","40708","MS11-049",,,,,
"9.00.5266","2507769","40624","CU3",,,,,
"9.00.5259","2489409","40230","CU2",,,,,
"9.00.5254","2464079","40535","CU1",,,,,
"9.00.5069","2716429","41191","MS12-070",,,,,
"9.00.5057","2494120","40708","MS11-049",,,,,
"9.00.5000",,"40528",,,,,,
"9.00.4340","2494112","40708","MS11-049",,,,,
"9.00.4325","2507766","40624","CU15",,,,,
"9.00.4317","2489375","40595","CU14",,,,,
"9.00.4315","2438344","40532","CU13",,,,,
"9.00.4311","2345449","40469","CU12",,,,,
"9.00.4309","2258854","40406","CU11",,,,,
"9.00.4305","983329","40350","CU10",,,,,
"9.00.4294","980176","40287","CU9",,,,,
"9.00.4285","978915","40225","CU8",,,,,
"9.00.4273","976951","40168","CU7",,,,,
"9.00.4266","974648","40105","CU6",,,,,
"9.00.4262","970894","40099","MS09-062",,,,,
"9.00.4230","972511","40042","CU5",,,,,
"9.00.4226","970279","39979","CU4",,,,,
"9.00.4220","967909","39923","CU3",,,,,
"9.00.4211","961930","39860","CU2",,,,,
"9.00.4207","959195","39801","CU1",,,,,
"9.00.4060","2494113","40708","MS11-049",,,,,
"9.00.4053","970892","40099","MS09-062",,,,,
"9.00.4035","955706","39797",,,,,,
"9.00.3356","976952","40168","CU17",,,,,
"9.00.3355","974647","40105","CU16",,,,,
"9.00.3353","970896","40099","MS09-062",,,,,
"9.00.3330","972510","40042","CU15",,,,,
"9.00.3328","970278","39979","CU14",,,,,
"9.00.3325","967908","39923","CU13",,,,,
"9.00.3315","960485","39860","CU12",,,,,
"9.00.3310","960090","39854","MS09-004",,,,,
"9.00.3301","958735","39797","CU11",,,,,
"9.00.3294","956854","39742","CU10",,,,,
"9.00.3282","954607","39700","MS08-052",,,,,
"9.00.3282","953752","39678","CU9",,,,,
"9.00.3257","951217","39615","CU8",,,,,
"9.00.3239","949095","39552","CU7",,,,,
"9.00.3233","948108","39637","MS08-040",,,,,
"9.00.3228","946608","39496","CU6",,,,,
"9.00.3215","943656","39433","CU5",,,,,
"9.00.3200","941450","39370","CU4",,,,,
"9.00.3186","939537","39314","CU3",,,,,
"9.00.3175","936305","39251","CU2",,,,,
"9.00.3161","935356","39188","CU1",,,,,
"9.00.3152","933097","39217",,,,,,
"9.00.3080","970895","40099","MS09-062",,,,,
"9.00.3077","960089","39854","MS09-004",,,,,
"9.00.3073","954606","39700","MS08-052",,,,,
"9.00.3068","948109","39637","MS08-040",,,,,
"9.00.3042","937137",,"N/A",,,,,
"9.00.2047",,,"N/A",,,,,
"9.00.1399",,,"N/A",,,,,
,,,,,,,,
,,,,,,,,
